file,left1,top1,right1,bottom1,left2,top2,right2,bottom2
00436515-870c-4b36-a041-de91049b9ab4.png,264.0,152.0,477.0,531.0,562.0,152.0,818.0,605.0
00704310-78a8-4b38-8475-49f4573b2dbb.png,323.0,577.0,483.0,681.0,695.0,575.0,857.0,712.0
00f08de1-517e-4652-a04f-d1dc9ee48593.png,181.0,184.0,387.0,690.0,571.0,275.0,801.0,751.0
0100515c-5204-4f31-98e0-f35e4b00004a.png,703.0,416.0,787.0,493.0,,,,
010ccb9f-6d46-4380-af11-84f87397a1b8.png,652.0,437.0,813.0,730.0,301.0,405.0,442.0,684.0
012a5620-d082-4bb8-9b3b-e72d8938000c.png,133.0,613.0,408.0,888.0,678.0,427.0,902.0,767.0
0174c4bb-28f5-41e3-a13f-a396badc18bd.png,155.0,182.0,428.0,683.0,599.0,220.0,826.0,728.0
019d950b-dd38-4cf3-a686-527a75728be6.png,229.0,318.0,479.0,619.0,604.0,216.0,800.0,544.0
01a6eaa6-222f-4ea8-9874-bbd89dc1a1ce.png,141.0,306.0,366.0,633.0,609.0,285.0,845.0,640.0
01a7353d-25bb-4ff8-916b-f50dd541dccf.png,214.0,582.0,453.0,715.0,664.0,540.0,887.0,743.0
