file,left1,top1,right1,bottom1,left2,top2,right2,bottom2
3f2bb376-afc0-4bd2-94bf-64b55746917f.png,201.0,428.0,434.0,586.0,597.0,369.0,812.0,464.0
ac0fa091-cdb3-4e17-a8bd-58545c3e0106.png,617.0,395.0,873.0,648.0,217.0,436.0,478.0,654.0
01b9e362-4950-40f5-88fa-7557ac2a45bb.png,366.0,289.0,574.0,816.0,714.0,278.0,969.0,854.0
7181705d-bd1b-4896-94e6-0cc4d7562d56.png,157.0,594.0,300.0,717.0,,,,
3d6c05e8-8db1-4d72-8cb5-8068b649161b.png,240.0,416.0,387.0,665.0,546.0,419.0,678.0,670.0
0bcfe7ee-ada5-48de-990b-2a2fd6c6ed15.png,571.0,290.0,783.0,549.0,263.0,440.0,440.0,581.0
d815454a-5088-407c-8822-af205bec401d.png,90.0,480.0,243.0,623.0,,,,
0d9f8e9e-3a29-472a-8a96-7c792d6f3edf.png,657.0,414.0,902.0,705.0,281.0,445.0,394.0,565.0
bca2c151-2431-4595-80c7-75480a196c6e.png,328.0,415.0,457.0,641.0,,,,
32dbe7f3-6c0d-4320-9c89-775dbbb933e8.png,270.0,630.0,444.0,842.0,611.0,625.0,807.0,829.0
b0d34352-21d3-490e-8ecd-16baee334aba.png,169.0,430.0,355.0,766.0,,,,
8dd9cf58-1874-4592-b5aa-f5fd962337fd.png,160.0,513.0,379.0,824.0,582.0,335.0,887.0,915.0
970bb2ce-6966-47ed-82d0-923d8d0b8617.png,575.0,67.0,893.0,645.0,208.0,59.0,494.0,605.0
da0d2a4e-46ff-43a7-866d-1608fe52b05f.png,278.0,455.0,471.0,621.0,,,,
ea97a1ff-8582-4f89-be4f-b8cfd2eb73b1.png,684.0,421.0,842.0,602.0,145.0,442.0,345.0,556.0
d7ccc813-9dab-48c3-bf30-c6d305c85a4a.png,247.0,458.0,418.0,767.0,609.0,279.0,794.0,678.0
631d3a80-b2a4-4230-8d82-d141d3a8f064.png,689.0,545.0,780.0,679.0,,,,
660de8ab-b176-45d3-8a0b-faeab54c07f7.png,227.0,599.0,410.0,787.0,,,,
3b230c42-36a4-4f32-a891-2800c14e63a9.png,576.0,297.0,809.0,799.0,193.0,250.0,398.0,645.0
9f2cf186-cae2-4b29-8312-d20cd1df7d25.png,168.0,460.0,427.0,756.0,,,,
cba00aeb-4389-4de9-b374-56b412361c46.png,230.0,365.0,484.0,696.0,517.0,326.0,736.0,682.0
7be096ac-d43e-47e6-8325-4d404ed8106b.png,697.0,221.0,891.0,579.0,,,,
aa19d527-3efa-4e82-bc1c-74c450386423.png,522.0,309.0,762.0,683.0,,,,
b154363c-2aa3-4f9d-a0f3-99e32ca63289.png,589.0,153.0,722.0,338.0,216.0,688.0,397.0,806.0
74d04109-2cd0-497f-a3d3-b04fcbd34b10.png,320.0,403.0,463.0,571.0,,,,
a14c9773-4ff1-44e2-882d-6e37a1a5af3b.png,568.0,175.0,867.0,872.0,72.0,313.0,427.0,852.0
d5523ffc-1c8a-4250-939a-3f5215397ff2.png,266.0,202.0,542.0,777.0,604.0,109.0,932.0,619.0
1a2dc891-713d-4253-ad19-a1e7910ee2eb.png,576.0,651.0,742.0,857.0,314.0,649.0,437.0,838.0
